MSC03,train,test
0.875,mixed,mem
0.8125,mixed,mem
0.8125,mixed,mem
0.875,mixed,mem
0.9375,mixed,mem
0.9375,mixed,mem
0.9375,mixed,mem
0.875,mixed,mem
0.8125,mixed,mem
0.9375,mixed,mem
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
1.0,mixed,motor
0.65,mem,mixed
0.6,mem,mixed
0.6,mem,mixed
0.55,mem,mixed
0.65,mem,mixed
0.6,mem,mixed
0.65,mem,mixed
0.65,mem,mixed
0.85,mem,motor
0.8,mem,motor
0.85,mem,motor
0.8,mem,motor
0.9,mem,motor
0.9,mem,motor
0.95,mem,motor
0.9,mem,motor
0.55,motor,mixed
0.55,motor,mixed
0.5,motor,mixed
0.5,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.55,motor,mixed
0.6,motor,mixed
0.55,motor,mixed
0.5625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.5625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.625,motor,mem
0.5625,motor,mem
