task,acc,sub
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.8,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.8,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.3,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.15,MSC01
mixed,0.4,MSC01
mixed,0.25,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.3,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.5,MSC01
mixed,0.25,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.35,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.35,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.75,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.35,MSC01
mixed,0.7,MSC01
mixed,0.4,MSC01
mixed,0.35,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.75,MSC01
mixed,0.35,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.25,MSC01
mixed,0.75,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.75,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.75,MSC01
mixed,0.7,MSC01
mixed,0.35,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.3,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.75,MSC01
mixed,0.3,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.55,MSC01
mixed,0.3,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.75,MSC01
mixed,0.4,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.8,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.3,MSC01
mixed,0.7,MSC01
mixed,0.75,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.35,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.25,MSC01
mixed,0.55,MSC01
mixed,0.3,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.75,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.35,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.2,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.75,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.3,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.75,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.85,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.85,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.3,MSC01
mixed,0.3,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.85,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.3,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.4,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.8,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.7,MSC01
mixed,0.75,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.8,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.85,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.4,MSC01
mixed,0.3,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.25,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.4,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.3,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.75,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.75,MSC01
mixed,0.6,MSC01
mixed,0.8,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.6,MSC01
mixed,0.3,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.35,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.4,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.45,MSC01
mixed,0.85,MSC01
mixed,0.3,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.2,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.75,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.35,MSC01
mixed,0.35,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.9,MSC01
mixed,0.2,MSC01
mixed,0.65,MSC01
mixed,0.3,MSC01
mixed,0.25,MSC01
mixed,0.35,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.8,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.25,MSC01
mixed,0.6,MSC01
mixed,0.3,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.7,MSC01
mixed,0.3,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.85,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.7,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.3,MSC01
mixed,0.25,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.7,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.75,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.6,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.75,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.35,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.65,MSC01
mixed,0.6,MSC01
mixed,0.65,MSC01
mixed,0.35,MSC01
mixed,0.8,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.4,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.75,MSC01
mixed,0.55,MSC01
mixed,0.35,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.6,MSC01
mixed,0.4,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.45,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.5,MSC01
mixed,0.4,MSC01
mixed,0.3,MSC01
mixed,0.7,MSC01
mixed,0.9,MSC01
mixed,0.5,MSC01
mixed,0.7,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.45,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.4,MSC01
mixed,0.55,MSC01
mixed,0.65,MSC01
mixed,0.65,MSC01
mixed,0.45,MSC01
mixed,0.3,MSC01
mixed,0.5,MSC01
mixed,0.5,MSC01
mixed,0.6,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.55,MSC01
mixed,0.7,MSC01
mixed,0.45,MSC01
mixed,0.2,MSC01
mixed,0.5,MSC01
mixed,0.55,MSC01
mixed,0.25,MSC01
mixed,0.45,MSC01
mixed,0.55,MSC01
mixed,0.4,MSC01
mixed,0.6,MSC01
mixed,0.35,MSC01
mixed,0.5,MSC01
mixed,0.65,MSC01
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.3,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.3,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
