,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.8549999999999999
1,mixed,mem,MSC01,MSC02,0.745
2,motor,mixed,MSC01,MSC02,0.5149999999999999
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.825
5,mem,motor,MSC01,MSC02,0.89
6,mixed,motor,MSC01,MSC03,0.6399999999999999
7,mixed,mem,MSC01,MSC03,0.74375
8,motor,mixed,MSC01,MSC03,0.525
9,motor,mem,MSC01,MSC03,0.525
10,mem,mixed,MSC01,MSC03,0.7699999999999999
11,mem,motor,MSC01,MSC03,0.7
12,mixed,motor,MSC01,MSC04,0.8300000000000001
13,mixed,mem,MSC01,MSC04,0.6200000000000001
14,motor,mixed,MSC01,MSC04,0.5
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.5249999999999999
17,mem,motor,MSC01,MSC04,0.7
18,mixed,motor,MSC01,MSC05,0.7649999999999999
19,mixed,mem,MSC01,MSC05,0.725
20,motor,mixed,MSC01,MSC05,0.5
21,motor,mem,MSC01,MSC05,0.5
22,mem,mixed,MSC01,MSC05,0.565
23,mem,motor,MSC01,MSC05,0.8249999999999998
24,mixed,motor,MSC01,MSC06,0.5
25,mixed,mem,MSC01,MSC06,0.5799999999999998
26,motor,mixed,MSC01,MSC06,0.5
27,motor,mem,MSC01,MSC06,0.5
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.5277777777777778
30,mixed,motor,MSC01,MSC07,0.6111111111111113
31,mixed,mem,MSC01,MSC07,0.8049999999999999
32,motor,mixed,MSC01,MSC07,0.5
33,motor,mem,MSC01,MSC07,0.5
34,mem,mixed,MSC01,MSC07,0.645
35,mem,motor,MSC01,MSC07,0.6611111111111112
36,mixed,motor,MSC01,MSC10,0.475
37,mixed,mem,MSC01,MSC10,0.505
38,motor,mixed,MSC01,MSC10,0.5
39,motor,mem,MSC01,MSC10,0.5
40,mem,mixed,MSC01,MSC10,0.4700000000000001
41,mem,motor,MSC01,MSC10,0.40499999999999997
42,mixed,motor,MSC02,MSC01,0.775
43,mixed,mem,MSC02,MSC01,0.8549999999999999
44,motor,mixed,MSC02,MSC01,0.5149999999999999
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.5
47,mem,motor,MSC02,MSC01,0.495
48,mixed,motor,MSC02,MSC03,0.85
49,mixed,mem,MSC02,MSC03,0.775
50,motor,mixed,MSC02,MSC03,0.7549999999999999
51,motor,mem,MSC02,MSC03,0.6125
52,mem,mixed,MSC02,MSC03,0.5
53,mem,motor,MSC02,MSC03,0.5
54,mixed,motor,MSC02,MSC04,0.6849999999999999
55,mixed,mem,MSC02,MSC04,0.59
56,motor,mixed,MSC02,MSC04,0.5149999999999999
57,motor,mem,MSC02,MSC04,0.515
58,mem,mixed,MSC02,MSC04,0.5
59,mem,motor,MSC02,MSC04,0.5
60,mixed,motor,MSC02,MSC05,0.605
61,mixed,mem,MSC02,MSC05,0.6199999999999999
62,motor,mixed,MSC02,MSC05,0.505
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.5
65,mem,motor,MSC02,MSC05,0.5
66,mixed,motor,MSC02,MSC06,0.8166666666666667
67,mixed,mem,MSC02,MSC06,0.7999999999999999
68,motor,mixed,MSC02,MSC06,0.5149999999999999
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.5249999999999999
71,mem,motor,MSC02,MSC06,0.5277777777777777
72,mixed,motor,MSC02,MSC07,0.55
73,mixed,mem,MSC02,MSC07,0.595
74,motor,mixed,MSC02,MSC07,0.5549999999999999
75,motor,mem,MSC02,MSC07,0.685
76,mem,mixed,MSC02,MSC07,0.5
77,mem,motor,MSC02,MSC07,0.5
78,mixed,motor,MSC02,MSC10,0.4050000000000001
79,mixed,mem,MSC02,MSC10,0.24499999999999997
80,motor,mixed,MSC02,MSC10,0.525
81,motor,mem,MSC02,MSC10,0.51
82,mem,mixed,MSC02,MSC10,0.5
83,mem,motor,MSC02,MSC10,0.5
84,mixed,motor,MSC03,MSC01,0.66
85,mixed,mem,MSC03,MSC01,0.7699999999999999
86,motor,mixed,MSC03,MSC01,0.685
87,motor,mem,MSC03,MSC01,0.8
88,mem,mixed,MSC03,MSC01,0.5625
89,mem,motor,MSC03,MSC01,0.5375
90,mixed,motor,MSC03,MSC02,0.825
91,mixed,mem,MSC03,MSC02,0.76
92,motor,mixed,MSC03,MSC02,0.6299999999999999
93,motor,mem,MSC03,MSC02,0.6199999999999999
94,mem,mixed,MSC03,MSC02,0.53125
95,mem,motor,MSC03,MSC02,0.5562499999999999
96,mixed,motor,MSC03,MSC04,0.825
97,mixed,mem,MSC03,MSC04,0.765
98,motor,mixed,MSC03,MSC04,0.565
99,motor,mem,MSC03,MSC04,0.8
100,mem,mixed,MSC03,MSC04,0.64375
101,mem,motor,MSC03,MSC04,0.6875
102,mixed,motor,MSC03,MSC05,0.86
103,mixed,mem,MSC03,MSC05,0.8150000000000001
104,motor,mixed,MSC03,MSC05,0.5499999999999999
105,motor,mem,MSC03,MSC05,0.8
106,mem,mixed,MSC03,MSC05,0.7500000000000001
107,mem,motor,MSC03,MSC05,0.75
108,mixed,motor,MSC03,MSC06,0.7777777777777778
109,mixed,mem,MSC03,MSC06,0.765
110,motor,mixed,MSC03,MSC06,0.605
111,motor,mem,MSC03,MSC06,0.72
112,mem,mixed,MSC03,MSC06,0.6625
113,mem,motor,MSC03,MSC06,0.5972222222222222
114,mixed,motor,MSC03,MSC07,0.4888888888888888
115,mixed,mem,MSC03,MSC07,0.6500000000000001
116,motor,mixed,MSC03,MSC07,0.495
117,motor,mem,MSC03,MSC07,0.635
118,mem,mixed,MSC03,MSC07,0.60625
119,mem,motor,MSC03,MSC07,0.5486111111111112
120,mixed,motor,MSC03,MSC10,0.46500000000000014
121,mixed,mem,MSC03,MSC10,0.515
122,motor,mixed,MSC03,MSC10,0.635
123,motor,mem,MSC03,MSC10,0.7
124,mem,mixed,MSC03,MSC10,0.6499999999999999
125,mem,motor,MSC03,MSC10,0.5875
126,mixed,motor,MSC04,MSC01,0.4600000000000001
127,mixed,mem,MSC04,MSC01,0.4600000000000001
128,motor,mixed,MSC04,MSC01,0.51
129,motor,mem,MSC04,MSC01,0.5249999999999999
130,mem,mixed,MSC04,MSC01,0.6900000000000001
131,mem,motor,MSC04,MSC01,0.655
132,mixed,motor,MSC04,MSC02,0.5
133,mixed,mem,MSC04,MSC02,0.4600000000000001
134,motor,mixed,MSC04,MSC02,0.53
135,motor,mem,MSC04,MSC02,0.645
136,mem,mixed,MSC04,MSC02,0.585
137,mem,motor,MSC04,MSC02,0.6199999999999999
138,mixed,motor,MSC04,MSC03,0.57
139,mixed,mem,MSC04,MSC03,0.625
140,motor,mixed,MSC04,MSC03,0.8049999999999999
141,motor,mem,MSC04,MSC03,0.78125
142,mem,mixed,MSC04,MSC03,0.745
143,mem,motor,MSC04,MSC03,0.74
144,mixed,motor,MSC04,MSC05,0.575
