,train_task,test_task,sub,acc
0,mixed,motor,MSC01,1.0
1,mixed,mem,MSC01,0.9800000000000001
2,motor,mixed,MSC01,0.8049999999999999
3,motor,mem,MSC01,0.6550000000000001
4,mem,mixed,MSC01,0.8949999999999999
5,mem,motor,MSC01,0.97
6,mixed,motor,MSC02,0.945
7,mixed,mem,MSC02,0.8750000000000002
8,motor,mixed,MSC02,0.53
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.7749999999999999
11,mem,motor,MSC02,0.635
12,mixed,motor,MSC03,0.9199999999999999
13,mixed,mem,MSC03,0.735
14,motor,mixed,MSC03,0.49499999999999994
15,motor,mem,MSC03,0.5199999999999999
16,mem,mixed,MSC03,0.5449999999999999
17,mem,motor,MSC03,0.8450000000000001
18,mixed,motor,MSC04,0.945
19,mixed,mem,MSC04,1.0
20,motor,mixed,MSC04,0.68
21,motor,mem,MSC04,0.685
22,mem,mixed,MSC04,0.835
23,mem,motor,MSC04,0.75
24,mixed,motor,MSC05,0.95
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.5799999999999998
27,motor,mem,MSC05,0.9450000000000001
28,mem,mixed,MSC05,0.835
29,mem,motor,MSC05,0.95
30,mixed,motor,MSC06,0.925
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.705
33,motor,mem,MSC06,0.8099999999999999
34,mem,mixed,MSC06,0.845
35,mem,motor,MSC06,0.9399999999999998
36,mixed,motor,MSC07,0.9349999999999999
37,mixed,mem,MSC07,0.8850000000000001
38,motor,mixed,MSC07,0.605
39,motor,mem,MSC07,0.5399999999999999
40,mem,mixed,MSC07,0.86
41,mem,motor,MSC07,0.7949999999999999
42,mixed,motor,MSC10,0.865
43,mixed,mem,MSC10,0.9949999999999999
44,motor,mixed,MSC10,0.575
45,motor,mem,MSC10,0.825
46,mem,mixed,MSC10,0.8950000000000001
47,mem,motor,MSC10,0.8649999999999999
