train,same_sub,diff_sub,Days
MSC01,0.75,0.5819819819819819,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.6954954954954955,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.6441441441441441,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.7828828828828829,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.727027027027027,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.6666666666666666,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.7054054054054054,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.6875,0.581081081081081,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.7117117117117117,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.8125,0.6594594594594594,8
MSC01,1.0,0.6666666666666666,8
MSC01,0.8125,0.6324324324324324,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.5963963963963964,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.709009009009009,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.625,0.5,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.5045045045045045,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.75,0.6666666666666666,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.6666666666666666,8
MSC01,0.9375,0.6081081081081081,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.654054054054054,8
MSC01,0.8125,0.6594594594594594,8
MSC01,0.9375,0.6738738738738739,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.8125,0.6549549549549549,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.6396396396396397,8
MSC01,0.625,0.6756756756756757,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.7099099099099099,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.75,0.627927927927928,8
MSC01,0.625,0.6756756756756757,8
MSC01,1.0,0.7828828828828829,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.8125,0.6549549549549549,8
MSC01,1.0,0.5963963963963964,8
MSC01,1.0,0.6396396396396397,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.5585585585585585,8
MSC01,1.0,0.7099099099099099,8
MSC01,0.75,0.5819819819819819,8
MSC01,1.0,0.7054054054054054,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.625,0.5,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.718018018018018,8
MSC01,0.8125,0.6549549549549549,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.75,0.6666666666666666,8
MSC01,0.8125,0.6324324324324324,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.875,0.6315315315315315,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.709009009009009,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.727027027027027,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.8125,0.6594594594594594,8
MSC01,0.75,0.627927927927928,8
MSC01,0.8125,0.6549549549549549,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.5963963963963964,8
MSC01,0.8125,0.6324324324324324,8
MSC01,1.0,0.709009009009009,8
MSC01,0.625,0.6756756756756757,8
MSC01,0.625,0.6756756756756757,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.8125,0.6324324324324324,8
MSC01,1.0,0.645045045045045,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.625,0.6756756756756757,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.727027027027027,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.6396396396396397,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.709009009009009,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.875,0.6315315315315315,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.5963963963963964,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.5045045045045045,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.7054054054054054,8
MSC01,0.9375,0.6738738738738739,8
MSC01,1.0,0.727027027027027,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.75,0.763063063063063,8
MSC01,0.8125,0.6549549549549549,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.75,0.5819819819819819,8
MSC01,1.0,0.7414414414414414,8
MSC01,1.0,0.6531531531531531,8
MSC01,1.0,0.6531531531531531,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.9375,0.6081081081081081,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.5963963963963964,8
MSC01,0.9375,0.6081081081081081,8
MSC01,1.0,0.718018018018018,8
MSC01,0.8125,0.6594594594594594,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.75,0.763063063063063,8
MSC01,0.9375,0.609009009009009,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.625,0.5,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.625,0.6756756756756757,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.6875,0.581081081081081,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.8125,0.6324324324324324,8
MSC01,1.0,0.7405405405405405,8
MSC01,1.0,0.7513513513513513,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.709009009009009,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.709009009009009,8
MSC01,1.0,0.654054054054054,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.7414414414414414,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.727027027027027,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.7117117117117117,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.9375,0.6081081081081081,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.5,0.6036036036036035,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.75,0.6666666666666666,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.5963963963963964,8
MSC01,1.0,0.618018018018018,8
MSC01,1.0,0.645045045045045,8
MSC01,0.75,0.6666666666666666,8
MSC01,0.75,0.654054054054054,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.75,0.5819819819819819,8
MSC01,1.0,0.6675675675675675,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.618018018018018,8
MSC01,0.8125,0.69009009009009,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.654054054054054,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.618018018018018,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.625,0.5,8
MSC01,1.0,0.709009009009009,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.654054054054054,8
MSC01,0.625,0.5,8
MSC01,1.0,0.645045045045045,8
MSC01,0.8125,0.6324324324324324,8
MSC01,0.875,0.6315315315315315,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.8144144144144144,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.709009009009009,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.709009009009009,8
MSC01,1.0,0.6441441441441441,8
MSC01,0.875,0.6315315315315315,8
MSC01,0.625,0.5630630630630631,8
MSC01,1.0,0.6396396396396397,8
MSC01,1.0,0.727027027027027,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.4954954954954955,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.7828828828828829,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.8125,0.6549549549549549,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.6396396396396397,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.625,0.5630630630630631,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.5045045045045045,8
MSC01,1.0,0.7414414414414414,8
MSC01,1.0,0.618018018018018,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.8125,0.6594594594594594,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.7054054054054054,8
MSC01,1.0,0.6684684684684684,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.5963963963963964,8
MSC01,1.0,0.727027027027027,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.618018018018018,8
MSC01,1.0,0.6216216216216216,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.6531531531531531,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.7117117117117117,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.7117117117117117,8
MSC01,0.8125,0.6549549549549549,8
MSC01,0.75,0.6666666666666666,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.709009009009009,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.8125,0.6594594594594594,8
MSC01,0.75,0.654054054054054,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.8125,0.6549549549549549,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.75,0.6666666666666666,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.7405405405405405,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.6666666666666666,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.7513513513513513,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.8125,0.6549549549549549,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.75,0.763063063063063,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.7828828828828829,8
MSC01,1.0,0.709009009009009,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.7405405405405405,8
MSC01,1.0,0.727027027027027,8
MSC01,0.75,0.6666666666666666,8
MSC01,1.0,0.6306306306306306,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.8144144144144144,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.75,0.654054054054054,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.8125,0.6594594594594594,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.5045045045045045,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.8125,0.6549549549549549,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.8125,0.6594594594594594,8
MSC01,0.625,0.6756756756756757,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.9375,0.6081081081081081,8
MSC01,0.8125,0.69009009009009,8
MSC01,1.0,0.6675675675675675,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.625,0.5,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.875,0.6864864864864865,8
MSC01,1.0,0.4954954954954955,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.75,0.627927927927928,8
MSC01,0.75,0.654054054054054,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.7117117117117117,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.625,0.5,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.8125,0.6324324324324324,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.9375,0.6081081081081081,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.75,0.763063063063063,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.709009009009009,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.6396396396396397,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.7117117117117117,8
MSC01,1.0,0.7828828828828829,8
MSC01,0.8125,0.6594594594594594,8
MSC01,1.0,0.727027027027027,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.625,0.5,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.625,0.6756756756756757,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.645045045045045,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.7099099099099099,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.75,0.763063063063063,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.6306306306306306,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.6675675675675675,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.9375,0.6081081081081081,8
MSC01,1.0,0.654054054054054,8
MSC01,0.75,0.5819819819819819,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.7414414414414414,8
MSC01,1.0,0.7414414414414414,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.75,0.763063063063063,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.5045045045045045,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.4954954954954955,8
MSC01,1.0,0.8144144144144144,8
MSC01,1.0,0.7828828828828829,8
MSC01,0.75,0.5819819819819819,8
MSC01,0.9375,0.6738738738738739,8
MSC01,1.0,0.7315315315315315,8
MSC01,1.0,0.645045045045045,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.6441441441441441,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.9375,0.5459459459459459,8
MSC01,0.625,0.5630630630630631,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.8125,0.6324324324324324,8
MSC01,1.0,0.7099099099099099,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.9375,0.6738738738738739,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.5,0.6036036036036035,8
MSC01,0.9375,0.6081081081081081,8
MSC01,1.0,0.5585585585585585,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.6531531531531531,8
MSC01,0.5,0.6036036036036035,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.709009009009009,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.709009009009009,8
MSC01,0.75,0.654054054054054,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.6531531531531531,8
MSC01,0.75,0.6891891891891891,8
MSC01,0.6875,0.581081081081081,8
MSC01,1.0,0.709009009009009,8
MSC01,0.8125,0.69009009009009,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.645045045045045,8
MSC01,0.6875,0.581081081081081,8
MSC01,0.875,0.6315315315315315,8
MSC01,1.0,0.6684684684684684,8
MSC01,0.75,0.627927927927928,8
MSC01,1.0,0.6675675675675675,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.8125,0.6234234234234234,8
MSC01,1.0,0.7117117117117117,8
MSC01,1.0,0.7828828828828829,8
MSC01,0.9375,0.6081081081081081,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.645045045045045,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.625,0.5630630630630631,8
MSC01,1.0,0.618018018018018,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.75,0.6666666666666666,8
MSC01,1.0,0.5585585585585585,8
MSC01,0.625,0.6756756756756757,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.7828828828828829,8
MSC01,1.0,0.5585585585585585,8
MSC01,1.0,0.6954954954954955,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.625,0.5630630630630631,8
MSC01,1.0,0.6675675675675675,8
MSC01,1.0,0.7828828828828829,8
MSC01,1.0,0.5045045045045045,8
MSC01,0.8125,0.6234234234234234,8
MSC01,0.9375,0.6081081081081081,8
MSC01,0.75,0.5855855855855856,8
MSC01,1.0,0.7099099099099099,8
MSC01,1.0,0.6441441441441441,8
MSC01,0.625,0.5630630630630631,8
MSC01,0.625,0.5504504504504504,8
MSC01,1.0,0.7315315315315315,8
MSC01,0.875,0.6315315315315315,8
MSC01,0.8125,0.6324324324324324,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.618018018018018,8
MSC01,1.0,0.5675675675675675,8
MSC01,0.75,0.5819819819819819,8
MSC01,1.0,0.6216216216216216,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.625,0.5504504504504504,8
MSC01,0.8125,0.6594594594594594,8
MSC01,1.0,0.7405405405405405,8
MSC01,0.6875,0.572072072072072,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.718018018018018,8
MSC01,0.9375,0.5459459459459459,8
MSC01,1.0,0.7414414414414414,8
MSC01,0.9375,0.609009009009009,8
MSC01,1.0,0.645045045045045,8
MSC01,1.0,0.7828828828828829,8
MSC01,0.875,0.6864864864864865,8
MSC01,0.6875,0.5864864864864865,8
MSC01,1.0,0.6684684684684684,8
MSC01,1.0,0.5585585585585585,8
MSC01,1.0,0.6666666666666666,8
MSC01,1.0,0.6684684684684684,8
MSC01,0.625,0.5,8
MSC01,1.0,0.654054054054054,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.645045045045045,8
MSC01,0.75,0.763063063063063,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.75,0.5855855855855856,8
MSC01,0.6875,0.581081081081081,8
MSC01,1.0,0.6675675675675675,8
MSC01,1.0,0.5675675675675675,8
MSC01,1.0,0.645045045045045,8
MSC01,1.0,0.7054054054054054,8
MSC01,0.6875,0.5864864864864865,8
MSC01,0.6875,0.572072072072072,8
MSC01,0.8125,0.69009009009009,8
MSC01,0.75,0.6891891891891891,8
MSC01,1.0,0.6216216216216216,8
MSC01,1.0,0.645045045045045,8
MSC01,1.0,0.618018018018018,8
MSC01,1.0,0.718018018018018,8
MSC01,1.0,0.6441441441441441,8
MSC01,1.0,0.7117117117117117,8
