acc,train,test,frames
0.72,MSC01,MSC02,5
0.515,MSC01,MSC03,5
0.675,MSC01,MSC04,5
0.585,MSC01,MSC05,5
0.6300000000000001,MSC01,MSC06,5
0.56,MSC01,MSC07,5
0.525,MSC01,MSC10,5
0.7599999999999999,MSC02,MSC01,5
0.66,MSC02,MSC03,5
0.6950000000000001,MSC02,MSC04,5
0.6399999999999999,MSC02,MSC05,5
0.7950000000000002,MSC02,MSC06,5
0.565,MSC02,MSC07,5
0.53,MSC02,MSC10,5
0.7125,MSC03,MSC01,5
0.65625,MSC03,MSC02,5
0.6875000000000001,MSC03,MSC04,5
0.63125,MSC03,MSC05,5
0.70625,MSC03,MSC06,5
0.5437500000000001,MSC03,MSC07,5
0.6499999999999999,MSC03,MSC10,5
0.64,MSC04,MSC01,5
0.8600000000000001,MSC04,MSC02,5
0.735,MSC04,MSC03,5
0.825,MSC04,MSC05,5
0.89,MSC04,MSC06,5
0.58,MSC04,MSC07,5
0.685,MSC04,MSC10,5
0.525,MSC05,MSC01,5
0.6100000000000001,MSC05,MSC02,5
0.545,MSC05,MSC03,5
0.5,MSC05,MSC04,5
0.7750000000000001,MSC05,MSC06,5
0.685,MSC05,MSC07,5
0.71,MSC05,MSC10,5
0.71,MSC06,MSC01,5
0.82,MSC06,MSC02,5
0.7849999999999999,MSC06,MSC03,5
0.8099999999999999,MSC06,MSC04,5
0.8200000000000001,MSC06,MSC05,5
0.705,MSC06,MSC07,5
0.7249999999999999,MSC06,MSC10,5
0.59,MSC07,MSC01,5
0.5399999999999999,MSC07,MSC02,5
0.51,MSC07,MSC03,5
0.6100000000000001,MSC07,MSC04,5
0.625,MSC07,MSC05,5
0.5449999999999999,MSC07,MSC06,5
0.6300000000000001,MSC07,MSC10,5
0.505,MSC10,MSC01,5
0.495,MSC10,MSC02,5
0.665,MSC10,MSC03,5
0.6950000000000001,MSC10,MSC04,5
0.605,MSC10,MSC05,5
0.655,MSC10,MSC06,5
0.62,MSC10,MSC07,5
