sub,task,acc
MSC01,mem,0.45
MSC02,glass,0.5
MSC02,semantic,0.5
MSC02,motor,0.6
MSC02,mem,0.45
MSC03,glass,0.55
MSC03,semantic,0.45
MSC03,motor,0.75
MSC03,mem,0.5
MSC04,glass,0.5
MSC04,semantic,0.45
MSC04,motor,0.5
MSC04,mem,0.5
MSC05,glass,0.45
MSC05,semantic,0.45
MSC05,motor,0.4
MSC05,mem,0.8
MSC06,glass,0.7407407407407407
MSC06,semantic,0.5
MSC06,motor,0.4629629629629629
MSC06,mem,0.75
MSC07,glass,0.5
MSC07,semantic,0.55
MSC07,motor,0.574074074074074
MSC07,mem,0.55
MSC10,glass,0.7
MSC10,semantic,0.6
MSC10,motor,0.65
MSC10,mem,0.6
MSC01,glass,0.55
MSC01,semantic,0.65
MSC01,motor,0.6
MSC01,mem,0.65
MSC02,glass,0.45
MSC02,semantic,0.45
MSC02,motor,0.45
MSC02,mem,0.35
MSC03,glass,0.45
MSC03,semantic,0.45
MSC03,motor,0.45
MSC03,mem,0.3333333333333333
MSC04,glass,0.65
MSC04,semantic,0.3
MSC04,motor,0.55
MSC04,mem,0.45
MSC05,glass,0.6
MSC05,semantic,0.65
MSC05,motor,0.3
MSC05,mem,0.4
MSC06,glass,0.6666666666666666
MSC06,semantic,0.55
MSC06,motor,0.6481481481481481
MSC06,mem,0.5
MSC07,glass,0.5
MSC07,semantic,0.6
MSC07,motor,0.31481481481481477
MSC07,mem,0.55
MSC10,glass,0.6
MSC10,semantic,0.6
MSC10,motor,0.6
MSC10,mem,0.65
MSC01,glass,0.45
MSC01,semantic,0.55
MSC01,motor,0.6
MSC01,mem,0.8
MSC02,glass,0.4
MSC02,semantic,0.5
MSC02,motor,0.45
MSC02,mem,0.55
MSC03,glass,0.65
MSC03,semantic,0.65
MSC03,motor,0.7
MSC03,mem,0.47916666666666663
MSC04,glass,0.75
MSC04,semantic,0.65
MSC04,motor,0.45
MSC04,mem,0.6
MSC05,glass,0.35
MSC05,semantic,0.6
MSC05,motor,0.7
MSC05,mem,0.65
MSC06,glass,0.5185185185185185
MSC06,semantic,0.5
MSC06,motor,0.4259259259259259
MSC06,mem,0.7
MSC07,glass,0.65
MSC07,semantic,0.65
MSC07,motor,0.3888888888888889
MSC07,mem,0.4
MSC10,glass,0.55
MSC10,semantic,0.5
MSC10,motor,0.6
MSC10,mem,0.45
MSC01,glass,0.6
MSC01,semantic,0.65
MSC01,motor,0.55
MSC01,mem,0.6
MSC02,glass,0.55
MSC02,semantic,0.6
MSC02,motor,0.6
MSC02,mem,0.65
MSC03,glass,0.25
MSC03,semantic,0.45
MSC03,motor,0.6
MSC03,mem,0.4583333333333333
MSC04,glass,0.7
MSC04,semantic,0.65
MSC04,motor,0.45
MSC04,mem,0.35
MSC05,glass,0.5
MSC05,semantic,0.4
MSC05,motor,0.55
MSC05,mem,0.6
MSC06,glass,0.5185185185185185
MSC06,semantic,0.6
MSC06,motor,0.4074074074074074
MSC06,mem,0.4
MSC07,glass,0.7
MSC07,semantic,0.4
MSC07,motor,0.6666666666666666
MSC07,mem,0.4
MSC10,glass,0.7
MSC10,semantic,0.3
MSC10,motor,0.65
MSC10,mem,0.25
MSC01,glass,0.5
MSC01,semantic,0.55
MSC01,motor,0.65
MSC01,mem,0.65
MSC02,glass,0.4
MSC02,semantic,0.45
MSC02,motor,0.7
MSC02,mem,0.3
MSC03,glass,0.65
MSC03,semantic,0.6
MSC03,motor,0.45
MSC03,mem,0.6458333333333333
MSC04,glass,0.6
MSC04,semantic,0.7
MSC04,motor,0.65
MSC04,mem,0.45
MSC05,glass,0.4
MSC05,semantic,0.55
MSC05,motor,0.65
MSC05,mem,0.45
MSC06,glass,0.6666666666666666
MSC06,semantic,0.55
MSC06,motor,0.48148148148148145
MSC06,mem,0.6
MSC07,glass,0.6
MSC07,semantic,0.6
MSC07,motor,0.4074074074074074
MSC07,mem,0.25
MSC10,glass,0.4
MSC10,semantic,0.4
MSC10,motor,0.6
MSC10,mem,0.55
MSC01,glass,0.5
MSC01,semantic,0.5
MSC01,motor,0.45
MSC01,mem,0.35
MSC02,glass,0.45
MSC02,semantic,0.5
MSC02,motor,0.75
MSC02,mem,0.45
MSC03,glass,0.55
MSC03,semantic,0.3
MSC03,motor,0.4
MSC03,mem,0.7291666666666666
MSC04,glass,0.5
MSC04,semantic,0.6
MSC04,motor,0.65
MSC04,mem,0.6
MSC05,glass,0.55
MSC05,semantic,0.65
MSC05,motor,0.75
MSC05,mem,0.8
MSC06,glass,0.3888888888888889
MSC06,semantic,0.55
MSC06,motor,0.6851851851851851
MSC06,mem,0.65
MSC07,glass,0.7
MSC07,semantic,0.5
MSC07,motor,0.2777777777777778
MSC07,mem,0.85
MSC10,glass,0.7
MSC10,semantic,0.45
MSC10,motor,0.55
MSC10,mem,0.5
MSC01,glass,0.6
MSC01,semantic,0.55
MSC01,motor,0.35
MSC01,mem,0.6
MSC02,glass,0.55
MSC02,semantic,0.6
MSC02,motor,0.55
MSC02,mem,0.35
MSC03,glass,0.45
MSC03,semantic,0.3
MSC03,motor,0.4
MSC03,mem,0.5
MSC04,glass,0.7
MSC04,semantic,0.5
MSC04,motor,0.35
MSC04,mem,0.55
MSC05,glass,0.6
MSC05,semantic,0.5
MSC05,motor,0.35
MSC05,mem,0.4
MSC06,glass,0.6666666666666666
MSC06,semantic,0.55
MSC06,motor,0.7037037037037037
MSC06,mem,0.45
MSC07,glass,0.5
MSC07,semantic,0.8
MSC07,motor,0.48148148148148145
MSC07,mem,0.4
MSC10,glass,0.35
MSC10,semantic,0.6
MSC10,motor,0.55
MSC10,mem,0.5
MSC01,glass,0.35
MSC01,semantic,0.55
MSC01,motor,0.65
MSC01,mem,0.55
MSC02,glass,0.6
MSC02,semantic,0.55
MSC02,motor,0.6
MSC02,mem,0.5
MSC03,glass,0.6
MSC03,semantic,0.6
MSC03,motor,0.5
MSC03,mem,0.41666666666666663
MSC04,glass,0.65
MSC04,semantic,0.7
MSC04,motor,0.55
MSC04,mem,0.4
MSC05,glass,0.55
MSC05,semantic,0.75
MSC05,motor,0.55
MSC05,mem,0.5
MSC06,glass,0.574074074074074
MSC06,semantic,0.4
MSC06,motor,0.2777777777777778
MSC06,mem,0.45
MSC07,glass,0.55
MSC07,semantic,0.55
MSC07,motor,0.35185185185185186
MSC07,mem,0.75
MSC10,glass,0.6
MSC10,semantic,0.5
MSC10,motor,0.55
MSC10,mem,0.3
MSC01,glass,0.75
MSC01,semantic,0.45
MSC01,motor,0.65
MSC01,mem,0.7
MSC02,glass,0.5
MSC02,semantic,0.85
MSC02,motor,0.65
MSC02,mem,0.45
MSC03,glass,0.5
MSC03,semantic,0.35
MSC03,motor,0.75
MSC03,mem,0.6041666666666666
MSC04,glass,0.6
MSC04,semantic,0.55
MSC04,motor,0.55
MSC04,mem,0.7
MSC05,glass,0.5
MSC05,semantic,0.4
MSC05,motor,0.4
MSC05,mem,0.6
MSC06,glass,0.6296296296296295
MSC06,semantic,0.35
MSC06,motor,0.37037037037037035
MSC06,mem,0.55
MSC07,glass,0.55
MSC07,semantic,0.65
MSC07,motor,0.7037037037037037
MSC07,mem,0.7
MSC10,glass,0.55
MSC10,semantic,0.35
MSC10,motor,0.45
MSC10,mem,0.65
MSC01,glass,0.4
MSC01,semantic,0.55
MSC01,motor,0.45
MSC01,mem,0.65
MSC02,glass,0.7
MSC02,semantic,0.5
MSC02,motor,0.5
MSC02,mem,0.65
MSC03,glass,0.45
MSC03,semantic,0.45
MSC03,motor,0.55
MSC03,mem,0.4375
MSC04,glass,0.5
MSC04,semantic,0.55
MSC04,motor,0.65
MSC04,mem,0.6
MSC05,glass,0.7
MSC05,semantic,0.7
MSC05,motor,0.55
MSC05,mem,0.65
MSC06,glass,0.4444444444444444
MSC06,semantic,0.35
MSC06,motor,0.6851851851851851
MSC06,mem,0.6
MSC07,glass,0.45
MSC07,semantic,0.6
MSC07,motor,0.5185185185185185
MSC07,mem,0.7
MSC10,glass,0.55
MSC10,semantic,0.4
MSC10,motor,0.3
MSC10,mem,0.45
MSC01,glass,0.35
MSC01,semantic,0.8
MSC01,motor,0.75
MSC01,mem,0.65
MSC02,glass,0.6
MSC02,semantic,0.45
MSC02,motor,0.6
MSC02,mem,0.5
MSC03,glass,0.7
MSC03,semantic,0.65
MSC03,motor,0.6
MSC03,mem,0.6041666666666666
MSC04,glass,0.55
MSC04,semantic,0.75
MSC04,motor,0.35
MSC04,mem,0.55
MSC05,glass,0.5
MSC05,semantic,0.6
MSC05,motor,0.45
MSC05,mem,0.4
MSC06,glass,0.48148148148148145
MSC06,semantic,0.55
MSC06,motor,0.4629629629629629
MSC06,mem,0.45
MSC07,glass,0.5
MSC07,semantic,0.6
MSC07,motor,0.4259259259259259
MSC07,mem,0.35
MSC10,glass,0.5
MSC10,semantic,0.55
MSC10,motor,0.6
MSC10,mem,0.3
MSC01,glass,0.35
MSC01,semantic,0.65
MSC01,motor,0.4
MSC01,mem,0.6
MSC02,glass,0.4
MSC02,semantic,0.5
MSC02,motor,0.5
MSC02,mem,0.4
MSC03,glass,0.65
MSC03,semantic,0.2
MSC03,motor,0.5
MSC03,mem,0.7083333333333333
MSC04,glass,0.5
MSC04,semantic,0.55
MSC04,motor,0.55
MSC04,mem,0.65
MSC05,glass,0.6
MSC05,semantic,0.55
MSC05,motor,0.5
MSC05,mem,0.5
MSC06,glass,0.5185185185185185
MSC06,semantic,0.5
MSC06,motor,0.35185185185185186
MSC06,mem,0.55
MSC07,glass,0.6
MSC07,semantic,0.45
MSC07,motor,0.537037037037037
MSC07,mem,0.75
MSC10,glass,0.55
MSC10,semantic,0.65
MSC10,motor,0.5
MSC10,mem,0.5
MSC01,glass,0.55
MSC01,semantic,0.35
MSC01,motor,0.25
MSC01,mem,0.5
MSC02,glass,0.6
MSC02,semantic,0.7
MSC02,motor,0.55
MSC02,mem,0.7
MSC03,glass,0.5
MSC03,semantic,0.6
MSC03,motor,0.35
MSC03,mem,0.5625
MSC04,glass,0.4
MSC04,semantic,0.55
MSC04,motor,0.25
MSC04,mem,0.35
MSC05,glass,0.45
MSC05,semantic,0.55
MSC05,motor,0.55
MSC05,mem,0.65
MSC06,glass,0.5555555555555556
MSC06,semantic,0.6
MSC06,motor,0.5555555555555556
MSC06,mem,0.55
MSC07,glass,0.55
MSC07,semantic,0.5
MSC07,motor,0.6296296296296295
MSC07,mem,0.5
MSC10,glass,0.5
MSC10,semantic,0.35
MSC10,motor,0.4
MSC10,mem,0.45
MSC01,glass,0.25
MSC01,semantic,0.55
MSC01,motor,0.5
MSC01,mem,0.65
MSC02,glass,0.45
MSC02,semantic,0.5
MSC02,motor,0.75
MSC02,mem,0.3
MSC03,glass,0.65
MSC03,semantic,0.65
MSC03,motor,0.5
MSC03,mem,0.6458333333333333
MSC04,glass,0.65
MSC04,semantic,0.55
MSC04,motor,0.35
MSC04,mem,0.6
MSC05,glass,0.4
MSC05,semantic,0.7
MSC05,motor,0.45
MSC05,mem,0.45
MSC06,glass,0.2777777777777778
MSC06,semantic,0.6
MSC06,motor,0.25925925925925924
MSC06,mem,0.4
MSC07,glass,0.5
MSC07,semantic,0.4
MSC07,motor,0.574074074074074
MSC07,mem,0.6
MSC10,glass,0.65
MSC10,semantic,0.5
MSC10,motor,0.5
MSC10,mem,0.55
MSC01,glass,0.65
MSC01,semantic,0.45
MSC01,motor,0.55
MSC01,mem,0.6
MSC02,glass,0.45
MSC02,semantic,0.55
MSC02,motor,0.55
MSC02,mem,0.65
MSC03,glass,0.45
MSC03,semantic,0.35
MSC03,motor,0.3
MSC03,mem,0.4583333333333333
MSC04,glass,0.65
MSC04,semantic,0.55
MSC04,motor,0.75
MSC04,mem,0.5
MSC05,glass,0.5
MSC05,semantic,0.55
MSC05,motor,0.6
MSC05,mem,0.2
MSC06,glass,0.6296296296296295
MSC06,semantic,0.65
MSC06,motor,0.5925925925925926
MSC06,mem,0.6
MSC07,glass,0.55
MSC07,semantic,0.7
MSC07,motor,0.4074074074074074
MSC07,mem,0.7
MSC10,glass,0.35
MSC10,semantic,0.55
MSC10,motor,0.65
MSC10,mem,0.6
MSC01,glass,0.7
MSC01,semantic,0.6
MSC01,motor,0.6
MSC01,mem,0.5
MSC02,glass,0.6
MSC02,semantic,0.55
MSC02,motor,0.6
MSC02,mem,0.7
MSC03,glass,0.55
MSC03,semantic,0.6
MSC03,motor,0.2
MSC03,mem,0.4375
MSC04,glass,0.7
MSC04,semantic,0.6
MSC04,motor,0.45
MSC04,mem,0.5
MSC05,glass,0.45
MSC05,semantic,0.45
MSC05,motor,0.55
MSC05,mem,0.5
MSC06,glass,0.537037037037037
MSC06,semantic,0.45
MSC06,motor,0.2222222222222222
MSC06,mem,0.65
MSC07,glass,0.65
MSC07,semantic,0.6
MSC07,motor,0.35185185185185186
MSC07,mem,0.65
MSC10,glass,0.3
MSC10,semantic,0.7
MSC10,motor,0.45
MSC10,mem,0.5
MSC01,glass,0.5
MSC01,semantic,0.75
MSC01,motor,0.7
MSC01,mem,0.6
MSC02,glass,0.5
MSC02,semantic,0.7
MSC02,motor,0.45
MSC02,mem,0.45
MSC03,glass,0.7
MSC03,semantic,0.6
MSC03,motor,0.5
MSC03,mem,0.3958333333333333
MSC04,glass,0.35
MSC04,semantic,0.6
MSC04,motor,0.45
MSC04,mem,0.5
MSC05,glass,0.45
MSC05,semantic,0.65
MSC05,motor,0.7
MSC05,mem,0.65
MSC06,glass,0.537037037037037
MSC06,semantic,0.45
MSC06,motor,0.4259259259259259
MSC06,mem,0.6
MSC07,glass,0.65
MSC07,semantic,0.5
MSC07,motor,0.5370370370370371
MSC07,mem,0.4
MSC10,glass,0.6
MSC10,semantic,0.5
MSC10,motor,0.6
MSC10,mem,0.45
MSC01,glass,0.65
MSC01,semantic,0.55
MSC01,motor,0.55
MSC01,mem,0.7
MSC02,glass,0.8
MSC02,semantic,0.55
MSC02,motor,0.65
MSC02,mem,0.6
MSC03,glass,0.55
MSC03,semantic,0.5
MSC03,motor,0.65
MSC03,mem,0.6041666666666666
MSC04,glass,0.35
MSC04,semantic,0.5
MSC04,motor,0.4
MSC04,mem,0.45
MSC05,glass,0.4
MSC05,semantic,0.7
MSC05,motor,0.5
MSC05,mem,0.55
MSC06,glass,0.7222222222222222
MSC06,semantic,0.85
MSC06,motor,0.5185185185185185
MSC06,mem,0.3
MSC07,glass,0.35
MSC07,semantic,0.5
MSC07,motor,0.5555555555555556
MSC07,mem,0.55
MSC10,glass,0.5
MSC10,semantic,0.35
MSC10,motor,0.55
MSC10,mem,0.6
MSC01,glass,0.45
MSC01,semantic,0.55
MSC01,motor,0.65
MSC01,mem,0.65
MSC02,glass,0.35
MSC02,semantic,0.65
MSC02,motor,0.5
MSC02,mem,0.6
MSC03,glass,0.45
MSC03,semantic,0.6
MSC03,motor,0.5
MSC03,mem,0.3333333333333333
MSC04,glass,0.6
MSC04,semantic,0.4
MSC04,motor,0.6
MSC04,mem,0.45
MSC05,glass,0.6
MSC05,semantic,0.7
MSC05,motor,0.4
MSC05,mem,0.7
MSC06,glass,0.37037037037037035
MSC06,semantic,0.4
MSC06,motor,0.4259259259259259
MSC06,mem,0.5
MSC07,glass,0.7
MSC07,semantic,0.7
MSC07,motor,0.6296296296296295
MSC07,mem,0.35
MSC10,glass,0.65
MSC10,semantic,0.45
MSC10,motor,0.5
MSC10,mem,0.55
MSC01,glass,0.55
MSC01,semantic,0.55
MSC01,motor,0.5
MSC01,mem,0.6
MSC02,glass,0.65
MSC02,semantic,0.6
MSC02,motor,0.6
MSC02,mem,0.75
MSC03,glass,0.45
MSC03,semantic,0.55
MSC03,motor,0.55
MSC03,mem,0.6458333333333333
MSC04,glass,0.65
MSC04,semantic,0.7
MSC04,motor,0.3
MSC04,mem,0.65
MSC05,glass,0.65
MSC05,semantic,0.65
MSC05,motor,0.45
MSC05,mem,0.55
MSC06,glass,0.6481481481481481
MSC06,semantic,0.55
MSC06,motor,0.5925925925925926
MSC06,mem,0.6
MSC07,glass,0.75
MSC07,semantic,0.5
MSC07,motor,0.5185185185185185
MSC07,mem,0.45
MSC10,glass,0.45
MSC10,semantic,0.5
MSC10,motor,0.7
MSC10,mem,0.45
MSC01,glass,0.35
MSC01,semantic,0.45
MSC01,motor,0.4
MSC01,mem,0.5
MSC02,glass,0.85
MSC02,semantic,0.45
MSC02,motor,0.8
MSC02,mem,0.55
MSC03,glass,0.45
MSC03,semantic,0.55
MSC03,motor,0.6
MSC03,mem,0.5416666666666666
MSC04,glass,0.55
MSC04,semantic,0.3
MSC04,motor,0.25
MSC04,mem,0.55
MSC05,glass,0.65
MSC05,semantic,0.4
MSC05,motor,0.65
MSC05,mem,0.55
MSC06,glass,0.6851851851851851
MSC06,semantic,0.6
MSC06,motor,0.6296296296296295
MSC06,mem,0.35
MSC07,glass,0.25
MSC07,semantic,0.7
MSC07,motor,0.7407407407407407
MSC07,mem,0.8
MSC10,glass,0.45
MSC10,semantic,0.65
MSC10,motor,0.6
MSC10,mem,0.75
MSC01,glass,0.6
MSC01,semantic,0.3
MSC01,motor,0.55
MSC01,mem,0.5
MSC02,glass,0.55
MSC02,semantic,0.6
MSC02,motor,0.45
MSC02,mem,0.55
MSC03,glass,0.5
MSC03,semantic,0.4
MSC03,motor,0.55
MSC03,mem,0.7291666666666666
MSC04,glass,0.55
MSC04,semantic,0.8
MSC04,motor,0.8
MSC04,mem,0.45
MSC05,glass,0.6
MSC05,semantic,0.65
MSC05,motor,0.5
MSC05,mem,0.5
MSC06,glass,0.25925925925925924
MSC06,semantic,0.45
MSC06,motor,0.5925925925925927
MSC06,mem,0.5
MSC07,glass,0.65
MSC07,semantic,0.35
MSC07,motor,0.537037037037037
MSC07,mem,0.25
MSC10,glass,0.45
MSC10,semantic,0.75
MSC10,motor,0.7
MSC10,mem,0.45
MSC01,glass,0.55
MSC01,semantic,0.55
MSC01,motor,0.45
MSC01,mem,0.5
MSC02,glass,0.6
MSC02,semantic,0.85
MSC02,motor,0.5
MSC02,mem,0.7
MSC03,glass,0.4
MSC03,semantic,0.55
MSC03,motor,0.7
MSC03,mem,0.3333333333333333
MSC04,glass,0.5
MSC04,semantic,0.55
MSC04,motor,0.6
MSC04,mem,0.4
MSC05,glass,0.6
MSC05,semantic,0.7
MSC05,motor,0.5
MSC05,mem,0.65
MSC06,glass,0.6296296296296295
MSC06,semantic,0.65
MSC06,motor,0.37037037037037035
MSC06,mem,0.45
MSC07,glass,0.5
MSC07,semantic,0.25
MSC07,motor,0.537037037037037
MSC07,mem,0.5
MSC10,glass,0.5
MSC10,semantic,0.8
MSC10,motor,0.5
MSC10,mem,0.55
MSC01,glass,0.45
MSC01,semantic,0.3
MSC01,motor,0.65
MSC01,mem,0.55
MSC02,glass,0.65
MSC02,semantic,0.5
MSC02,motor,0.6
MSC02,mem,0.7
MSC03,glass,0.5
MSC03,semantic,0.4
MSC03,motor,0.65
MSC03,mem,0.5208333333333333
MSC04,glass,0.5
MSC04,semantic,0.6
MSC04,motor,0.6
MSC04,mem,0.45
MSC05,glass,0.45
MSC05,semantic,0.35
MSC05,motor,0.4
MSC05,mem,0.7
MSC06,glass,0.537037037037037
MSC06,semantic,0.45
MSC06,motor,0.5185185185185185
MSC06,mem,0.5
MSC07,glass,0.5
MSC07,semantic,0.35
MSC07,motor,0.7962962962962963
MSC07,mem,0.5
MSC10,glass,0.55
MSC10,semantic,0.55
MSC10,motor,0.5
MSC10,mem,0.5
MSC01,glass,0.5
MSC01,semantic,0.6
MSC01,motor,0.75
MSC01,mem,0.55
MSC02,glass,0.6
MSC02,semantic,0.55
MSC02,motor,0.7
MSC02,mem,0.45
MSC03,glass,0.2
MSC03,semantic,0.65
MSC03,motor,0.65
MSC03,mem,0.5208333333333333
MSC04,glass,0.65
MSC04,semantic,0.45
MSC04,motor,0.45
MSC04,mem,0.35
MSC05,glass,0.65
MSC05,semantic,0.55
MSC05,motor,0.45
MSC05,mem,0.8
MSC06,glass,0.5925925925925926
MSC06,semantic,0.5
MSC06,motor,0.574074074074074
MSC06,mem,0.6
MSC07,glass,0.65
MSC07,semantic,0.65
MSC07,motor,0.6296296296296295
MSC07,mem,0.7
MSC10,glass,0.75
MSC10,semantic,0.45
MSC10,motor,0.45
MSC10,mem,0.4
MSC01,glass,0.5
MSC01,semantic,0.3
MSC01,motor,0.5
MSC01,mem,0.7
MSC02,glass,0.7
MSC02,semantic,0.25
MSC02,motor,0.55
MSC02,mem,0.45
MSC03,glass,0.85
MSC03,semantic,0.45
MSC03,motor,0.55
MSC03,mem,0.4583333333333333
MSC04,glass,0.55
MSC04,semantic,0.65
MSC04,motor,0.4
MSC04,mem,0.55
MSC05,glass,0.65
MSC05,semantic,0.4
MSC05,motor,0.35
MSC05,mem,0.45
MSC06,glass,0.5925925925925926
MSC06,semantic,0.55
MSC06,motor,0.7407407407407407
MSC06,mem,0.4
MSC07,glass,0.45
MSC07,semantic,0.7
MSC07,motor,0.4629629629629629
MSC07,mem,0.6
MSC10,glass,0.5
MSC10,semantic,0.35
MSC10,motor,0.7
MSC10,mem,0.45
MSC01,glass,0.55
MSC01,semantic,0.5
MSC01,motor,0.5
MSC01,mem,0.5
MSC02,glass,0.6
MSC02,semantic,0.5
MSC02,motor,0.4
MSC02,mem,0.65
MSC03,glass,0.65
MSC03,semantic,0.6
MSC03,motor,0.5
MSC03,mem,0.8541666666666666
MSC04,glass,0.7
MSC04,semantic,0.6
MSC04,motor,0.6
MSC04,mem,0.65
MSC05,glass,0.55
MSC05,semantic,0.55
MSC05,motor,0.75
MSC05,mem,0.55
MSC06,glass,0.6296296296296295
MSC06,semantic,0.5
MSC06,motor,0.4629629629629629
MSC06,mem,0.5
MSC07,glass,0.35
MSC07,semantic,0.4
MSC07,motor,0.537037037037037
MSC07,mem,0.55
MSC10,glass,0.6
MSC10,semantic,0.5
MSC10,motor,0.5
MSC10,mem,0.65
MSC01,glass,0.65
MSC01,semantic,0.6
MSC01,motor,0.5
MSC01,mem,0.55
MSC02,glass,0.6
MSC02,semantic,0.55
MSC02,motor,0.7
MSC02,mem,0.8
MSC03,glass,0.5
MSC03,semantic,0.35
MSC03,motor,0.45
MSC03,mem,0.6666666666666666
MSC04,glass,0.7
MSC04,semantic,0.5
MSC04,motor,0.55
MSC04,mem,0.55
MSC05,glass,0.55
MSC05,semantic,0.55
MSC05,motor,0.55
MSC05,mem,0.7
MSC06,glass,0.5185185185185185
MSC06,semantic,0.4
MSC06,motor,0.4074074074074074
MSC06,mem,0.5
MSC07,glass,0.5
MSC07,semantic,0.8
MSC07,motor,0.6296296296296295
MSC07,mem,0.6
MSC10,glass,0.7
MSC10,semantic,0.3
MSC10,motor,0.25
MSC10,mem,0.7
MSC01,glass,0.55
MSC01,semantic,0.4
MSC01,motor,0.25
MSC01,mem,0.3
MSC02,glass,0.4
MSC02,semantic,0.5
MSC02,motor,0.55
MSC02,mem,0.25
MSC03,glass,0.65
MSC03,semantic,0.8
MSC03,motor,0.3
MSC03,mem,0.41666666666666663
MSC04,glass,0.4
MSC04,semantic,0.45
MSC04,motor,0.6
MSC04,mem,0.55
MSC05,glass,0.5
MSC05,semantic,0.45
MSC05,motor,0.4
MSC05,mem,0.55
MSC06,glass,0.5185185185185185
MSC06,semantic,0.4
MSC06,motor,0.16666666666666666
MSC06,mem,0.4
MSC07,glass,0.35
MSC07,semantic,0.55
MSC07,motor,0.37037037037037035
MSC07,mem,0.4
MSC10,glass,0.7
MSC10,semantic,0.6
MSC10,motor,0.55
MSC10,mem,0.6
MSC01,glass,0.5
MSC01,semantic,0.7
MSC01,motor,0.6
MSC01,mem,0.35
MSC02,glass,0.5
MSC02,semantic,0.7
MSC02,motor,0.45
MSC02,mem,0.65
MSC03,glass,0.6
MSC03,semantic,0.45
MSC03,motor,0.6
MSC03,mem,0.20833333333333331
MSC04,glass,0.75
MSC04,semantic,0.65
MSC04,motor,0.45
MSC04,mem,0.5
MSC05,glass,0.4
MSC05,semantic,0.45
MSC05,motor,0.65
MSC05,mem,0.4
MSC06,glass,0.4444444444444444
MSC06,semantic,0.5
MSC06,motor,0.4444444444444444
MSC06,mem,0.6
MSC07,glass,0.6
MSC07,semantic,0.35
MSC07,motor,0.5
MSC07,mem,0.45
MSC10,glass,0.6
MSC10,semantic,0.35
MSC10,motor,0.85
MSC10,mem,0.5
MSC01,glass,0.75
MSC01,semantic,0.65
MSC01,motor,0.65
MSC01,mem,0.65
MSC02,glass,0.5
MSC02,semantic,0.45
MSC02,motor,0.45
MSC02,mem,0.45
MSC03,glass,0.55
MSC03,semantic,0.6
MSC03,motor,0.55
MSC03,mem,0.6458333333333333
MSC04,glass,0.4
MSC04,semantic,0.4
MSC04,motor,0.6
MSC04,mem,0.5
MSC05,glass,0.25
MSC05,semantic,0.55
MSC05,motor,0.35
MSC05,mem,0.7
MSC06,glass,0.537037037037037
MSC06,semantic,0.65
MSC06,motor,0.2777777777777778
MSC06,mem,0.55
MSC07,glass,0.5
MSC07,semantic,0.5
MSC07,motor,0.48148148148148145
MSC07,mem,0.7
MSC10,glass,0.45
MSC10,semantic,0.45
MSC10,motor,0.25
MSC10,mem,0.75
MSC01,glass,0.65
MSC01,semantic,0.55
MSC01,motor,0.75
MSC01,mem,0.6
MSC02,glass,0.4
MSC02,semantic,0.7
MSC02,motor,0.6
MSC02,mem,0.8
MSC03,glass,0.3
MSC03,semantic,0.4
MSC03,motor,0.5
MSC03,mem,0.6041666666666666
MSC04,glass,0.25
MSC04,semantic,0.65
MSC04,motor,0.3
MSC04,mem,0.35
MSC05,glass,0.35
MSC05,semantic,0.65
MSC05,motor,0.6
MSC05,mem,0.55
MSC06,glass,0.6296296296296295
MSC06,semantic,0.65
MSC06,motor,0.7407407407407407
MSC06,mem,0.45
MSC07,glass,0.35
MSC07,semantic,0.45
MSC07,motor,0.5185185185185185
MSC07,mem,0.4
MSC10,glass,0.6
MSC10,semantic,0.5
MSC10,motor,0.45
MSC10,mem,0.5
MSC01,glass,0.65
MSC01,semantic,0.45
MSC01,motor,0.6
MSC01,mem,0.55
MSC02,glass,0.55
MSC02,semantic,0.45
MSC02,motor,0.5
MSC02,mem,0.6
MSC03,glass,0.5
MSC03,semantic,0.3
MSC03,motor,0.45
MSC03,mem,0.20833333333333331
MSC04,glass,0.6
MSC04,semantic,0.35
MSC04,motor,0.65
MSC04,mem,0.65
MSC05,glass,0.45
MSC05,semantic,0.75
MSC05,motor,0.4
MSC05,mem,0.45
MSC06,glass,0.4074074074074074
MSC06,semantic,0.6
MSC06,motor,0.4629629629629629
MSC06,mem,0.7
MSC07,glass,0.6
MSC07,semantic,0.4
MSC07,motor,0.48148148148148145
MSC07,mem,0.55
MSC10,glass,0.45
MSC10,semantic,0.5
MSC10,motor,0.45
MSC10,mem,0.65
MSC01,glass,0.7
MSC01,semantic,0.45
MSC01,motor,0.55
MSC01,mem,0.55
MSC02,glass,0.5
MSC02,semantic,0.35
MSC02,motor,0.5
MSC02,mem,0.35
MSC03,glass,0.5
MSC03,semantic,0.65
MSC03,motor,0.45
MSC03,mem,0.29166666666666663
MSC04,glass,0.4
MSC04,semantic,0.4
MSC04,motor,0.45
MSC04,mem,0.55
MSC05,glass,0.65
MSC05,semantic,0.55
MSC05,motor,0.45
MSC05,mem,0.45
MSC06,glass,0.574074074074074
MSC06,semantic,0.7
MSC06,motor,0.7037037037037037
MSC06,mem,0.7
MSC07,glass,0.45
MSC07,semantic,0.85
MSC07,motor,0.574074074074074
MSC07,mem,0.45
MSC10,glass,0.6
MSC10,semantic,0.65
MSC10,motor,0.5
MSC10,mem,0.75
MSC01,glass,0.4
MSC01,semantic,0.35
MSC01,motor,0.75
MSC01,mem,0.45
MSC02,glass,0.6
