acc,train,test,frames,analysis
0.64,MSC01,MSC02,5,BS
0.45000000000000007,MSC01,MSC03,5,BS
0.625,MSC01,MSC04,5,BS
0.53,MSC01,MSC05,5,BS
0.5499999999999999,MSC01,MSC06,5,BS
0.515,MSC01,MSC07,5,BS
0.6,MSC01,MSC10,5,BS
0.67,MSC02,MSC01,5,BS
0.45,MSC02,MSC03,5,BS
0.645,MSC02,MSC04,5,BS
0.545,MSC02,MSC05,5,BS
0.61,MSC02,MSC06,5,BS
0.505,MSC02,MSC07,5,BS
0.5700000000000001,MSC02,MSC10,5,BS
0.525,MSC03,MSC01,5,BS
0.525,MSC03,MSC02,5,BS
0.55625,MSC03,MSC04,5,BS
0.51875,MSC03,MSC05,5,BS
0.50625,MSC03,MSC06,5,BS
0.48125,MSC03,MSC07,5,BS
0.5687500000000001,MSC03,MSC10,5,BS
0.6199999999999999,MSC04,MSC01,5,BS
0.5599999999999999,MSC04,MSC02,5,BS
0.52,MSC04,MSC03,5,BS
0.6949999999999998,MSC04,MSC05,5,BS
0.7150000000000001,MSC04,MSC06,5,BS
0.565,MSC04,MSC07,5,BS
0.67,MSC04,MSC10,5,BS
0.52,MSC05,MSC01,5,BS
0.515,MSC05,MSC02,5,BS
0.615,MSC05,MSC03,5,BS
0.5,MSC05,MSC04,5,BS
0.68,MSC05,MSC06,5,BS
0.5900000000000001,MSC05,MSC07,5,BS
0.515,MSC05,MSC10,5,BS
0.585,MSC06,MSC01,5,BS
0.68,MSC06,MSC02,5,BS
0.64,MSC06,MSC03,5,BS
0.8400000000000001,MSC06,MSC04,5,BS
0.62,MSC06,MSC05,5,BS
0.605,MSC06,MSC07,5,BS
0.7300000000000001,MSC06,MSC10,5,BS
0.55,MSC07,MSC01,5,BS
0.46499999999999997,MSC07,MSC02,5,BS
0.505,MSC07,MSC03,5,BS
0.605,MSC07,MSC04,5,BS
0.615,MSC07,MSC05,5,BS
0.5399999999999999,MSC07,MSC06,5,BS
0.595,MSC07,MSC10,5,BS
0.51,MSC10,MSC01,5,BS
0.36,MSC10,MSC02,5,BS
0.545,MSC10,MSC03,5,BS
0.69,MSC10,MSC04,5,BS
0.595,MSC10,MSC05,5,BS
0.615,MSC10,MSC06,5,BS
0.63,MSC10,MSC07,5,BS
