MSC05,train,test,MSC06,MSC07,MSC10
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,1.0
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.85,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,1.0
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,1.0,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,1.0
1.0,mixed,mem,1.0,0.9,0.95
1.0,mixed,mem,1.0,0.9,0.95
