acc,train,test,train_task,test_task
0.7,MSC01,MSC02,mixed,mem
0.7,MSC01,MSC02,mixed,mem
0.7,MSC01,MSC02,mixed,mem
0.75,MSC01,MSC02,mixed,mem
0.7,MSC01,MSC02,mixed,mem
0.75,MSC01,MSC02,mixed,mem
0.75,MSC01,MSC02,mixed,mem
0.75,MSC01,MSC02,mixed,mem
0.7,MSC01,MSC02,mixed,mem
0.75,MSC01,MSC02,mixed,mem
0.6,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.55,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.6,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.6,MSC01,MSC02,mixed,motor
0.65,MSC01,MSC02,mixed,motor
0.75,MSC01,MSC02,mem,mixed
0.65,MSC01,MSC02,mem,mixed
0.8,MSC01,MSC02,mem,mixed
0.75,MSC01,MSC02,mem,mixed
0.75,MSC01,MSC02,mem,mixed
0.75,MSC01,MSC02,mem,mixed
0.75,MSC01,MSC02,mem,mixed
0.7,MSC01,MSC02,mem,mixed
0.8,MSC01,MSC02,mem,mixed
0.7,MSC01,MSC02,mem,mixed
0.55,MSC01,MSC02,mem,motor
0.55,MSC01,MSC02,mem,motor
0.7,MSC01,MSC02,mem,motor
0.6,MSC01,MSC02,mem,motor
0.6,MSC01,MSC02,mem,motor
0.6,MSC01,MSC02,mem,motor
0.6,MSC01,MSC02,mem,motor
0.6,MSC01,MSC02,mem,motor
0.65,MSC01,MSC02,mem,motor
0.55,MSC01,MSC02,mem,motor
0.65,MSC01,MSC02,motor,mixed
0.6,MSC01,MSC02,motor,mixed
0.6,MSC01,MSC02,motor,mixed
0.7,MSC01,MSC02,motor,mixed
0.65,MSC01,MSC02,motor,mixed
0.65,MSC01,MSC02,motor,mixed
0.7,MSC01,MSC02,motor,mixed
0.65,MSC01,MSC02,motor,mixed
0.65,MSC01,MSC02,motor,mixed
0.7,MSC01,MSC02,motor,mixed
0.6,MSC01,MSC02,motor,mem
