sub,task,acc,spec,sen
MSC01,glass,0.95,0.9,1.0
MSC01,semantic,1.0,1.0,1.0
MSC01,motor,0.95,0.9,1.0
MSC01,mem,0.95,0.9,1.0
MSC02,glass,0.85,0.7,1.0
MSC02,semantic,0.85,0.8,0.9
MSC02,motor,0.95,0.9,1.0
MSC02,mem,0.8,0.9,0.7
MSC03,glass,0.9,0.8,1.0
MSC03,semantic,0.95,1.0,0.9
MSC03,motor,0.95,0.9,1.0
MSC03,mem,0.875,0.9,0.875
MSC04,glass,0.85,0.7,1.0
MSC04,semantic,1.0,1.0,1.0
MSC04,motor,0.9,0.9,0.9
MSC04,mem,1.0,1.0,1.0
MSC05,glass,0.75,0.5,1.0
MSC05,semantic,0.9,0.8,1.0
MSC05,motor,0.8,0.8,0.8
MSC05,mem,0.95,1.0,0.9
MSC06,glass,0.7037037037037037,0.4,1.0
MSC06,semantic,0.9,0.8,1.0
MSC06,motor,1.0,1.0,1.0
MSC06,mem,0.8,0.9,0.7
MSC07,glass,0.8,0.6,1.0
MSC07,semantic,0.75,0.5,1.0
MSC07,motor,1.0,1.0,1.0
MSC07,mem,0.95,0.9,1.0
MSC10,glass,0.8,0.6,1.0
MSC10,semantic,0.8,0.6,1.0
MSC10,motor,0.95,1.0,0.9
MSC10,mem,0.85,0.9,0.8
